,dat_dir,save_dir,taskType,high_res,im_volseg,rr,rl,Note
0,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20210101/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp08_20210102_052728/,None,,,
1,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/im_CM0_voluseg/,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_ref-stack_fish00_exp04_20211007_211100/,None,,,
2,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20200105/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp06_20200105_214700/,None,0.748924744,0.569967941,
4,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20201231/fish00/5dpf_HuC-GC7FF_ref-stack_fish00_exp05_20210101_011320/im_CM0/,None,0.7175402572308320,0.6864973125073270,
