,dat_dir,save_dir,taskType,high_res,im_volseg,rr,rl,Note
0,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191130/fish00/6dpf_HuC-GC7FF_GU-fwd_fish00_exp05_20191130_194544/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191130/fish00/6dpf_HuC-GC7FF_ref-stack_fish00_exp06_20191201_combined/,None,0.398841959,0.78927451,
1,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20191201/fish00/7dpf_HuC-GC7FF_LG_NGGU_fish00_exp03_20191201_172627/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20191201/fish00/7dpf_HuC-GC7FF_ref-stack_fish00_exp08_combined/,None,0.233117981,0.65781339,
2,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/LG_vs_NGGU/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200105/fish01/6dpf_HuC-GC7FF_LGNGGU_fish01_exp02_20200105_164709/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20200105/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp06_20200105_214700/,None,0.748924744,0.569967941,
3,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/MG_vs_replayGU/20200907/fish02/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_MGvsReplayGU_fish02_exp02_20200907_224819/im_CM0_removal_osc/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20200907/8dpf_HuC-GCaMP7FF-GFAP-RGECO_ref-stack_fish02_exp06_20200908_021756/im_CM0/,None,0.168225732,0.799448788,with simultaneous glia
4,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20201231/fish00/5dpf_HuC-GC7FF_MG-vs-ReplayGU_fish00_exp02_20201231_180923/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20201231/fish00/5dpf_HuC-GC7FF_ref-stack_fish00_exp05_20210101_011320/im_CM0/,None,0.7175402572308320,0.6864973125073270,
