,dat_dir,save_dir,taskType,high_res,rr,rl
6,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_ReplayGU/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210101/fish01/6dpf_HuC-GC7FF_MG-vs-ReplayGU_fish01_exp02_20210101_200615/im_CM0/,MG_vs_replayGU,/nrs/ahrens/jing/statemod/suppl/20210101/fish01/6dpf_HuC-GC7FF_ref-stack_fish01_exp08_20210102_052728/,0.6366077920632313,0.8084615841090853
8,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_MG-vs_NGGU-trunc65_fish00_exp07_20211007_215308/im_CM0_voluseg/,MG_vs_NGGU-trunc_fmg,/nrs/ahrens/jing/statemod/statedep/elavl3-GC/MG_vs_NG/20211007/fish00/5dpf_elavl3-gc8f-gfap-jregeco_ref-stack_fish00_exp04_20211007_211100/processed/,0.26284252794304785,0.5706497363086048
11,/nrs/ahrens/jing/statemod/statedep/elavl3-GC_gfap-jRG/LG_vs_NGGU/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/im/,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_LG-NGGU_fish01_exp02_20200218_173933/,LG_vs_NGGU,/nrs/ahrens/jing/statemod/suppl/20200218/fish01/6dpf_HuC-GC7FF-GFAP-RGECO_ref-stack_fish01_exp02_20200218_214551/,0.48158901131078885,0.509778588585002
